id,clinic_id,name,is_active,description,color,sort_order,group_id,reservation_display_name,duration_minutes,short_name,show_short_name,reservation_visible,reservation_comment,reservation_image_url,parent_id,max_concurrent,reservation_day_option,is_internal,category,created_at,updated_at,deleted_at
1,1,一般診察,t,内科・外科・皮膚科などの一般的な診察,#3B82F6,1,1,"",15,診察,f,t,"","",,,none,f,general,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,一般診察(再診),t,継続通院の一般診察,#3B82F6,2,1,"",15,再診,f,t,"","",,,none,f,general,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,ワクチン接種,t,各種ワクチン接種（予防接種）,#10B981,3,2,"",15,ワクチン,f,t,"","",,,none,f,general,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,お手入れ,t,爪切り・耳掃除・肛門腺絞りなど,#F59E0B,4,4,"",15,お手入れ,f,t,"","",,,none,f,general,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,狂犬病,t,狂犬病予防法に基づくワクチン接種,#10B981,5,2,"",15,狂犬病,f,t,"","",,,none,f,general,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,1,フィラリア予防,t,フィラリア予防薬投与・処方,#10B981,6,2,"",15,フィラリア,f,t,"","",,,none,f,general,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,1,健康診断,t,定期健康診断・フィラリア検査など,#8B5CF6,7,3,"",15,健診,f,t,"","",,,none,f,general,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,1,健康診断結果報告,t,健康診断結果の説明・報告,#8B5CF6,8,3,"",15,結果報告,f,t,"","",,,none,f,general,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,1,トリミングコース,t,カット・シャンプー・ブロー・爪切り・耳掃除,#F59E0B,9,4,"",15,トリミング,f,t,"","",,,none,f,trimming,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,1,トリミング部分カットコース,t,部分的なカット・トリミング,#F59E0B,10,4,"",15,部分カット,f,t,"","",,,none,f,trimming,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,1,トリミングシャンプーコース,t,シャンプー・ブロー・ブラッシング,#F59E0B,11,4,"",15,シャンプー,f,t,"","",,,none,f,trimming,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,1,クイックシャンプー,t,短時間シャンプー,#F59E0B,12,4,"",15,Qシャンプー,f,t,"","",,,none,f,trimming,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,1,室内ドッグラン,t,室内ドッグラン利用（60分）,#6B7280,13,6,"",60,ドッグラン,f,t,"","",,,none,f,general,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,1,手術60,t,手術枠（60分）,#EF4444,14,5,"",60,手術60,f,f,"","",,,none,t,general,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,1,ホテルお迎え,t,ホテルお迎え対応,#6B7280,15,6,"",15,お迎え,f,f,"","",,,none,t,general,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,1,ホテル預かり,t,ペットホテル預かり,#6B7280,16,6,"",15,預かり,f,f,"","",,,none,t,general,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
