id,clinic_id,staff_id,date,shift_type,start_time,end_time,notes,created_at,updated_at
1,1,1,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
2,1,2,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
3,1,3,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
4,1,4,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
5,1,5,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
6,1,6,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
7,1,7,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
8,1,8,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
9,1,9,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
10,1,10,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
11,1,11,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
12,1,33,2026-05-11,full,09:00:00,18:00:00,予約連動出勤（静的予約補正）,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
13,2,16,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
14,2,17,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
15,2,18,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
16,2,19,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
17,2,20,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
18,2,21,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
19,2,22,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
20,2,34,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
21,3,26,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
22,3,27,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
23,3,28,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
24,3,29,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
25,3,30,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
26,3,35,2026-05-11,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
27,1,1,2026-05-12,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
28,1,2,2026-05-12,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
29,1,3,2026-05-12,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
30,1,4,2026-05-12,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
31,1,5,2026-05-12,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
32,1,6,2026-05-12,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
33,1,7,2026-05-12,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
34,1,8,2026-05-12,full,09:00:00,18:00:00,"",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09
