id,clinic_id,name,category,unit_price,tax_type,tax_rate,is_active,sort_order,created_at,updated_at,deleted_at
1,1,犬療法食：Hill's,food,0,excluded,0.10,t,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,犬療法食：WALTHAM,food,0,excluded,0.10,t,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,犬療法食：Eukanuba,food,0,excluded,0.10,t,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,犬療法食：SPECIFIC,food,0,excluded,0.10,t,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,犬療法食：Dr's Care,food,0,excluded,0.10,t,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,1,犬療法食：その他,food,0,excluded,0.10,t,6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,1,猫療法食：Hill's,food,0,excluded,0.10,t,7,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,2,ロイヤルカナン 消化器サポート 1kg,food,2900,excluded,0.10,t,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,2,ヒルズ k/d 2kg,food,3600,excluded,0.10,t,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,2,ペット用歯ブラシセット,goods,1250,excluded,0.10,t,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,2,文書料,other,3000,excluded,0.10,t,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,3,ロイヤルカナン 消化器サポート 1kg,food,2750,excluded,0.10,t,1,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,3,ノミ・ダニ予防首輪,goods,1600,excluded,0.10,t,2,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,3,エリザベスカラー（M）,goods,1000,excluded,0.10,t,3,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,3,文書料,other,3000,excluded,0.10,t,4,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,2,エリザベスカラー（M）,goods,1050,excluded,0.10,t,5,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
17,2,ノミ・ダニ予防首輪,goods,1650,excluded,0.10,t,6,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
