path,bucket,reason
cmd/api/batch_scheduler.go,keep,既存cmdエントリポイント(target treeのcmd/api等と整合済み)
cmd/api/main.go,keep,既存cmdエントリポイント(target treeのcmd/api等と整合済み)
cmd/coverage-ratchet/main.go,keep,既存cmdエントリポイント(target treeのcmd/api等と整合済み)
cmd/lstep-migrate/main.go,keep,既存cmdエントリポイント(target treeのcmd/api等と整合済み)
cmd/lstep-migrate/migrator.go,keep,既存cmdエントリポイント(target treeのcmd/api等と整合済み)
cmd/lstep-migrate/reporter.go,keep,既存cmdエントリポイント(target treeのcmd/api等と整合済み)
cmd/migrate/csvbundle.go,keep,既存cmdエントリポイント(target treeのcmd/api等と整合済み)
cmd/migrate/main.go,keep,既存cmdエントリポイント(target treeのcmd/api等と整合済み)
cmd/seed-export/dump.go,keep,既存cmdエントリポイント(target treeのcmd/api等と整合済み)
cmd/seed-export/main.go,keep,既存cmdエントリポイント(target treeのcmd/api等と整合済み)
cmd/seed-export/tables.go,keep,既存cmdエントリポイント(target treeのcmd/api等と整合済み)
cmd/stage-import/apply.go,keep,既存cmdエントリポイント(target treeのcmd/api等と整合済み)
cmd/stage-import/main.go,keep,既存cmdエントリポイント(target treeのcmd/api等と整合済み)
cmd/stage-import/tables.go,keep,既存cmdエントリポイント(target treeのcmd/api等と整合済み)
internal/apicontract/doc.go,keep,既存の凝集cross-cutting package
internal/apperrors/errors.go,keep,既存の凝集cross-cutting package
internal/authjwt/claims.go,keep,既存の凝集cross-cutting package
internal/config/config.go,keep,既存の凝集cross-cutting package
internal/config/timezone.go,keep,既存の凝集cross-cutting package
internal/csvimport/import.go,keep,既存の凝集cross-cutting package(demo/seed用、lstep機能とは別)
internal/dbconn/dbconn.go,keep,既存の凝集cross-cutting package
internal/handler/accounting_handler.go,target:billing,prefix token='accounting'
internal/handler/accounting_report_handler.go,target:billing,prefix token='accounting'
internal/handler/accounting_report_request.go,target:billing,prefix token='accounting'
internal/handler/accounting_report_response.go,target:billing,prefix token='accounting'
internal/handler/accounting_request.go,target:billing,prefix token='accounting'
internal/handler/accounting_response.go,target:billing,prefix token='accounting'
internal/handler/aggregation_handler.go,target:lstep,prefix token='aggregation'
internal/handler/aggregation_request.go,target:lstep,prefix token='aggregation'
internal/handler/animal_species_handler.go,target:pet,prefix token='animal'
internal/handler/animal_species_request.go,target:pet,prefix token='animal'
internal/handler/animal_species_response.go,target:pet,prefix token='animal'
internal/handler/appointment_admin_handler.go,target:reservation,prefix token='appointment'
internal/handler/appointment_admin_request.go,target:reservation,prefix token='appointment'
internal/handler/appointment_admin_response.go,target:reservation,prefix token='appointment'
internal/handler/appointment_handler.go,target:reservation,prefix token='appointment'
internal/handler/appointment_request.go,target:reservation,prefix token='appointment'
internal/handler/auth_handler.go,target:auth,prefix token='auth'
internal/handler/auth_me_response.go,target:auth,prefix token='auth'
internal/handler/auth_password_handler.go,target:auth,prefix token='password'
internal/handler/auth_request.go,target:auth,prefix token='auth'
internal/handler/auth_response.go,target:auth,prefix token='auth'
internal/handler/auth_session.go,target:auth,prefix token='auth'
internal/handler/billing_confirmation_handler.go,target:billing,prefix token='billing'
internal/handler/billing_confirmation_request.go,target:billing,prefix token='billing'
internal/handler/billing_confirmation_response.go,target:billing,prefix token='billing'
internal/handler/billing_item_handler.go,target:billing,prefix token='billing'
internal/handler/billing_item_request.go,target:billing,prefix token='billing'
internal/handler/bind_errors.go,target:httpapi,generic ShouldBind error mapper
internal/handler/cage_handler.go,target:medicalrecord,prefix token='cage'
internal/handler/cage_request.go,target:medicalrecord,prefix token='cage'
internal/handler/cage_response.go,target:medicalrecord,prefix token='cage'
internal/handler/campaign_handler.go,target:billing,prefix token='campaign'
internal/handler/campaign_request.go,target:billing,prefix token='campaign'
internal/handler/campaign_response.go,target:billing,prefix token='campaign'
internal/handler/care_plan_item_handler.go,target:medicalrecord,prefix token='care'
internal/handler/care_plan_item_request.go,target:medicalrecord,prefix token='care'
internal/handler/care_plan_item_response.go,target:medicalrecord,prefix token='care'
internal/handler/cash_register_handler.go,target:billing,prefix token='cash'
internal/handler/cash_register_request.go,target:billing,prefix token='cash'
internal/handler/cash_register_response.go,target:billing,prefix token='cash'
internal/handler/checkup_field_handler.go,target:medicalrecord,prefix token='checkup'
internal/handler/checkup_field_request.go,target:medicalrecord,prefix token='checkup'
internal/handler/checkup_field_response.go,target:medicalrecord,prefix token='checkup'
internal/handler/checkup_handler.go,target:medicalrecord,prefix token='checkup'
internal/handler/checkup_request.go,target:medicalrecord,prefix token='checkup'
internal/handler/checkup_response.go,target:medicalrecord,prefix token='checkup'
internal/handler/checkup_sync_handler.go,target:lstep,L③b: route/application dependency is lstep
internal/handler/checkup_sync_request.go,target:lstep,L③b: checkup sync HTTP boundary belongs to lstep
internal/handler/checkup_sync_response.go,target:lstep,L③b: checkup sync HTTP boundary belongs to lstep
internal/handler/checkup_type_handler.go,target:medicalrecord,prefix token='checkup'
internal/handler/checkup_type_request.go,target:medicalrecord,prefix token='checkup'
internal/handler/checkup_type_response.go,target:medicalrecord,prefix token='checkup'
internal/handler/chief_complaint_handler.go,target:medicalrecord,prefix token='chief'
internal/handler/chief_complaint_request.go,target:medicalrecord,prefix token='chief'
internal/handler/chief_complaint_response.go,target:medicalrecord,prefix token='chief'
internal/handler/chronic_condition_handler.go,target:pet,prefix token='chronic'
internal/handler/chronic_condition_request.go,target:pet,prefix token='chronic'
internal/handler/clinic_handler.go,target:clinic,prefix token='clinic'
internal/handler/clinic_holiday_handler.go,target:clinic,prefix token='clinic'
internal/handler/clinic_holiday_request.go,target:clinic,prefix token='clinic'
internal/handler/clinic_holiday_response.go,target:clinic,prefix token='clinic'
internal/handler/clinic_request.go,target:clinic,prefix token='clinic'
internal/handler/clinic_response.go,target:clinic,prefix token='clinic'
internal/handler/clinical_plan_handler.go,target:medicalrecord,prefix token='clinical'
internal/handler/clinical_plan_request.go,target:medicalrecord,prefix token='clinical'
internal/handler/clinical_plan_response.go,target:medicalrecord,prefix token='clinical'
internal/handler/closing_settings_handler.go,target:clinic,prefix token='closing'
internal/handler/closing_settings_request.go,target:clinic,prefix token='closing'
internal/handler/closing_settings_response.go,target:clinic,prefix token='closing'
internal/handler/company_handler.go,target:clinic,prefix token='company'
internal/handler/company_request.go,target:clinic,prefix token='company'
internal/handler/company_response.go,target:clinic,prefix token='company'
internal/handler/consultation_handler.go,target:medicalrecord,prefix token='consultation'
internal/handler/consultation_request.go,target:medicalrecord,prefix token='consultation'
internal/handler/consultation_response.go,target:medicalrecord,prefix token='consultation'
internal/handler/context_helpers.go,target:httpapi,generic Gin context helper
internal/handler/daily_record_handler.go,target:medicalrecord,prefix token='daily'
internal/handler/daily_record_request.go,target:medicalrecord,prefix token='daily'
internal/handler/daily_record_response.go,target:medicalrecord,prefix token='daily'
internal/handler/date.go,target:httpapi,generic date binding helper
internal/handler/diagnosis_handler.go,target:medicalrecord,prefix token='diagnosis'
internal/handler/diagnosis_request.go,target:medicalrecord,prefix token='diagnosis'
internal/handler/diagnosis_response.go,target:medicalrecord,prefix token='diagnosis'
internal/handler/discount_permission.go,target:auth,cross-domain discount-field RBAC helper
internal/handler/estimate_handler.go,target:billing,prefix token='estimate'
internal/handler/estimate_request.go,target:billing,prefix token='estimate'
internal/handler/estimate_response.go,target:billing,prefix token='estimate'
internal/handler/exam_type_handler.go,target:medicalrecord,prefix token='exam'
internal/handler/exam_type_request.go,target:medicalrecord,prefix token='exam'
internal/handler/exam_type_response.go,target:medicalrecord,prefix token='exam'
internal/handler/examination_handler.go,target:medicalrecord,prefix token='examination'
internal/handler/examination_request.go,target:medicalrecord,prefix token='examination'
internal/handler/examination_response.go,target:medicalrecord,prefix token='examination'
internal/handler/handler.go,keep,composition-root facade (BE9-2F removal target)
internal/handler/hospitalization_handler.go,target:medicalrecord,prefix token='hospitalization'
internal/handler/hospitalization_plan_handler.go,target:medicalrecord,prefix token='hospitalization'
internal/handler/hospitalization_plan_request.go,target:medicalrecord,prefix token='hospitalization'
internal/handler/hospitalization_plan_response.go,target:medicalrecord,prefix token='hospitalization'
internal/handler/hospitalization_request.go,target:medicalrecord,prefix token='hospitalization'
internal/handler/hospitalization_response.go,target:medicalrecord,prefix token='hospitalization'
internal/handler/inquiry_handler.go,target:medicalrecord,prefix token='inquiry'
internal/handler/inquiry_request.go,target:medicalrecord,prefix token='inquiry'
internal/handler/inquiry_response.go,target:medicalrecord,prefix token='inquiry'
internal/handler/inquiry_template_handler.go,target:medicalrecord,prefix token='inquiry'
internal/handler/inquiry_template_request.go,target:medicalrecord,prefix token='inquiry'
internal/handler/inquiry_template_response.go,target:medicalrecord,prefix token='inquiry'
internal/handler/insurance_handler.go,target:billing,prefix token='insurance'
internal/handler/insurance_request.go,target:billing,prefix token='insurance'
internal/handler/insurance_response.go,target:billing,prefix token='insurance'
internal/handler/inventory_handler.go,target:inventory,prefix token='inventory'
internal/handler/inventory_request.go,target:inventory,prefix token='inventory'
internal/handler/inventory_response.go,target:inventory,prefix token='inventory'
internal/handler/lab_import_handler.go,target:medicalrecord,prefix token='lab'
internal/handler/lab_import_request.go,target:medicalrecord,prefix token='lab'
internal/handler/lab_import_response.go,target:medicalrecord,prefix token='lab'
internal/handler/lab_report_handler.go,target:medicalrecord,prefix token='lab'
internal/handler/lab_report_response.go,target:medicalrecord,prefix token='lab'
internal/handler/liff_handler.go,target:reservation,"RE-CLASSIFIED (bm-reservation-trimming + bm-lstep convergent): LiffService struct is reservation-domain repos, zero Lstep*/LineLink*/LineMessaging* refs."
internal/handler/liff_request.go,target:reservation,"RE-CLASSIFIED, see liff_handler.go"
internal/handler/liff_response.go,target:reservation,"RE-CLASSIFIED, see liff_handler.go"
internal/handler/liff_validation.go,target:reservation,"RE-CLASSIFIED, see liff_handler.go"
internal/handler/line_customer_handler.go,target:lstep,prefix token='line'
internal/handler/line_customer_request.go,target:lstep,prefix token='line'
internal/handler/line_customer_response.go,target:lstep,prefix token='line'
internal/handler/line_link_handler.go,target:lstep,prefix token='line'
internal/handler/line_link_request.go,target:lstep,prefix token='line'
internal/handler/line_reservation_setting_handler.go,target:reservation,prefix token='reservation'
internal/handler/line_reservation_setting_request.go,target:reservation,prefix token='reservation'
internal/handler/line_reservation_setting_response.go,target:reservation,prefix token='reservation'
internal/handler/line_send_handler.go,target:lstep,prefix token='line'
internal/handler/line_send_request.go,target:lstep,prefix token='line'
internal/handler/line_send_response.go,target:lstep,prefix token='line'
internal/handler/list_query_request.go,target:httpapi,generic list/pagination request helper
internal/handler/lstep_analytics_handler.go,target:lstep,prefix token='lstep'
internal/handler/lstep_analytics_request.go,target:lstep,prefix token='lstep'
internal/handler/lstep_analytics_response.go,target:lstep,prefix token='lstep'
internal/handler/lstep_csv_import_handler.go,target:lstep,prefix token='lstep'
internal/handler/lstep_csv_import_request.go,target:lstep,prefix token='lstep'
internal/handler/lstep_delivery_monitor_handler.go,target:lstep,prefix token='lstep'
internal/handler/lstep_delivery_monitor_request.go,target:lstep,prefix token='lstep'
internal/handler/lstep_delivery_monitor_response.go,target:lstep,prefix token='lstep'
internal/handler/lstep_lifecycle_handler.go,target:lstep,prefix token='lstep'
internal/handler/lstep_lifecycle_request.go,target:lstep,prefix token='lstep'
internal/handler/lstep_settings_handler.go,target:lstep,prefix token='lstep'
internal/handler/lstep_settings_request.go,target:lstep,prefix token='lstep'
internal/handler/lstep_settings_response.go,target:lstep,prefix token='lstep'
internal/handler/lstep_tag_code_mapping_handler.go,target:lstep,prefix token='lstep'
internal/handler/lstep_tag_code_mapping_request.go,target:lstep,prefix token='lstep'
internal/handler/lstep_tag_code_mapping_response.go,target:lstep,prefix token='lstep'
internal/handler/lstep_tag_config_handler.go,target:lstep,prefix token='lstep'
internal/handler/lstep_tag_config_request.go,target:lstep,prefix token='lstep'
internal/handler/lstep_tag_config_response.go,target:lstep,prefix token='lstep'
internal/handler/lstep_tag_handler.go,target:lstep,prefix token='lstep'
internal/handler/lstep_tag_request.go,target:lstep,prefix token='lstep'
internal/handler/lstep_tag_response.go,target:lstep,prefix token='lstep'
internal/handler/lstep_tag_summary_handler.go,target:lstep,prefix token='lstep'
internal/handler/lstep_tag_summary_request.go,target:lstep,prefix token='lstep'
internal/handler/lstep_tag_summary_response.go,target:lstep,prefix token='lstep'
internal/handler/lstep_trigger_priority_handler.go,target:lstep,prefix token='lstep'
internal/handler/lstep_trigger_priority_request.go,target:lstep,prefix token='lstep'
internal/handler/manual_article_handler.go,target:manualarticle,prefix token='manual'
internal/handler/manual_article_request.go,target:manualarticle,prefix token='manual'
internal/handler/manual_article_response.go,target:manualarticle,prefix token='manual'
internal/handler/master_routes.go,target:httpapi,multi-domain route aggregator; splits across owning domains in BE9-2B
internal/handler/medical_record_addendum_handler.go,target:medicalrecord,prefix token='medical'
internal/handler/medical_record_addendum_request.go,target:medicalrecord,prefix token='medical'
internal/handler/medical_record_addendum_response.go,target:medicalrecord,prefix token='medical'
internal/handler/medical_record_handler.go,target:medicalrecord,prefix token='medical'
internal/handler/medical_record_image_handler.go,target:medicalrecord,prefix token='medical'
internal/handler/medical_record_image_request.go,target:medicalrecord,prefix token='medical'
internal/handler/medical_record_image_response.go,target:medicalrecord,prefix token='medical'
internal/handler/medical_record_request.go,target:medicalrecord,prefix token='medical'
internal/handler/medical_record_response.go,target:medicalrecord,prefix token='medical'
